index,Address,Category,City,Country,Latitude,Longitude,Name
0,,Salon / Barbershop,Bremen,Deutschland,53.07342087632869,8.823121046798311,Headhunter
0,Reeder-Bischoff-Str. 25-27,Salon / Barbershop,Bremen,Deutschland,53.17013,8.62381,Haarstudio HESPOS Die Zweithaar-Spezialisten in Bremen
0,Gröpelinger Heerstr. 169,Salon / Barbershop,Bremen,Deutschland,53.1152998,8.7609788,Rayel Beauty lounge
0,Woltmershauser Str. 414,Salon / Barbershop,Bremen,Deutschland,53.086919589833045,8.765421538152317,Hair Rock Salon
0,Obervielander Straße 7,Salon / Barbershop,Bremen,Deutschland,53.05168345,8.73835099,Classic Hair Inh. Julia Stindt
0,Kirchhuchtinger Landstr. 129A,Salon / Barbershop,Bremen,Deutschland,53.04425,8.7352,Iden Intercoiffure
0,Moordeicher Landstraße 3a,Salon / Barbershop,Stuhr,Deutschland,53.03440226,8.72543758,LaVeda
0,Langemarckstraße 164,Salon / Barbershop,Bremen,Deutschland,53.07045062,8.78862172,Tawa Beauty
0,Pappelstr. 48,Salon / Barbershop,Bremen,Deutschland,53.069437,8.788526,Street:Cut Newtown
0,Hemmstr. 20,Salon / Barbershop,Bremen,Deutschland,53.09280014038086,8.80323314666748,La Mèche
0,Hemmstraße 293,Salon / Barbershop,Bremen,Deutschland,53.09677873,8.81153169,Coiffeur LaFee by Aysel
0,Hillmannstr.,Salon / Barbershop,Bremen,Deutschland,53.08170014439192,8.810384016791385,Coiffeur Charisma
0,Am Wall 162/163,Salon / Barbershop,Bremen,Deutschland,53.07751682,8.81093437,Keller haircompany Bremen
0,Kornstraße 152,Salon / Barbershop,Bremen,Deutschland,53.06039149,8.80714587,Schnittpunkt df
0,Vasmerstraße 1,Salon / Barbershop,Bremen,Deutschland,53.07419802,8.82046458,Hair Repair District
0,,Salon / Barbershop,Bremen,Deutschland,53.07565365513335,8.82204472411974,Seitenscheitel / Der Frisör
0,Schwachhauser Heerstraße 8,Salon / Barbershop,Bremen,Deutschland,53.079443,8.825907,Unicut by Hümerya
0,Vor dem Steintor 32,Salon / Barbershop,Bremen,Deutschland,53.07313,8.82516,Street:Cut Stonegate
0,Vor dem Steintor 112,Salon / Barbershop,Bremen,Deutschland,53.071953,8.829525,Hair Club Steintor
0,,Salon / Barbershop,Bremen,Deutschland,53.077509,8.832849,Kopfgeld
0,Vor dem Steintor 166,Salon / Barbershop,Bremen,Deutschland,53.07134620276075,8.831326067447662,Lipp & Langeworth
0,Schwachhauser Heerstr. 78,Salon / Barbershop,Bremen,Deutschland,53.08374597703733,8.842871260710032,Güly & Pierre
0,Bibliothekstr. 7,Salon / Barbershop,Bremen,Deutschland,53.107138,8.852151,Street:cut Campus
0,Mittelweg 77,Salon / Barbershop,Stuhr,Deutschland,52.99319224,8.68918242,Wellnessstudio-Janet
0,,Salon / Barbershop,Bremen,Deutschland,53.0784642884753,8.823459420395398,Contvren
0,Leher Heerstraße 59d,Salon / Barbershop,Bremen,Deutschland,53.10112639,8.8738464,Coiffeur Charisma
0,Hohenleuchte 22,Salon / Barbershop,Bremen,Deutschland,53.03199,8.84656,Hair-Design Bremen
0,Vahrer Str. 277,Salon / Barbershop,Bremen,Deutschland,53.07612505,8.88284342,Kopfsache by Dilara
